FUNCTION,AGENCY
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 19 EDUCATION,VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 27 BOTANIC GARDENS,VA 856 Colonial Secretary's Office 1851 -1855 Prime
"VF 125 HEALTH, PUBLIC",VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 175 ABORIGINAL AFFAIRS,VA 856 Colonial Secretary's Office 1851 -1855 Prime
VF 17 SURVEY,VA 2921 Surveyor-General's Department 1851 -1857 Prime
VF 11 PORTS AND HARBOURS,VA 606 Department of Trade and Customs 1851 -1900 Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1851 -1968 Other
VF 5 FINANCE,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1851 -1982 Prime
VF 36 CROWN SOLICITOR'S SERVICES,VA 2825 Attorney-General's Department (previously known as the Law Department) 1851 -1992 Prime
VF 12 POSTAL SERVICES,VA 2872 Postmaster General's Department 1851 -ct Prime
VF 164 AUDIT,VA 1031 Office of the Auditor-General (also known as Audit Office) 1851 -ct Prime
VF 269 CUSTOMS,VA 606 Department of Trade and Customs 1851 -ct Prime
VF 373 ARMED FORCES COMMAND,VA 466 Governor (including Lieutenant Governor 1851-1855 and Governor's Office) 1851 -ct Prime
VF 400 PARLIAMENT,VA 471 Legislative Council 1851 -ct Prime
VF 24 GEOLOGICAL SURVEY,VA 4118 Geological Survey of Victoria 1852 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4805 The Geelong Hospital (previously known as Geelong Hospital 1923-1924; and Geelong and District Hospital 1924-1966) 1852 -ct Prime
VF 309 CROWN LANDS (PUBLIC),VA 2878 Crown Lands Department 1853 -1857 Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 2878 Crown Lands Department 1853 -1857 Prime
VF 15 ROADS AND BRIDGES,VA 2803 Central Roads Board 1853 -1858 Prime
"VF 39 BIRTHS, DEATHS AND MARRIAGES",VA 2889 Registrar-General's Department 1853 -1873 Prime
VF 28 CEMETERIES,VA 5022 Castlemaine Cemetery Trust 1853 -ct Prime
VF 23 GOLD OFFICE,VA 856 Colonial Secretary's Office 1854 -1855 Prime
VF 3 CENSUS AND STATISTICS,VA 475 Chief Secretary's Department 1854 -1869 Prime
VF 279 MERCANTILE MARINE,VA 4180 Port Phillip Sea Pilots (Port Phillip Pilot Service) 1854 -ct Prime
VF 379 CEMETERY TRUSTS,VA 684 Warringal Cemetery Trust (Heidelberg) 1854 -ct Prime
VF 175 ABORIGINAL AFFAIRS,VA 475 Chief Secretary's Department 1855 -1856 Prime
VF 26 HERBARIUM,VA 475 Chief Secretary's Department 1855 -1857 Prime
VF 27 BOTANIC GARDENS,VA 475 Chief Secretary's Department 1855 -1857 Prime
VF 24 GEOLOGICAL SURVEY,VA 538 Department of Crown Lands and Survey 1855 -1858 Prime
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,VA 475 Chief Secretary's Department 1855 -1860 Prime
VF 19 EDUCATION,VA 703 Denominational School Board 1855 -1862 Prime
"VF 22 LIBRARY, STATE",VA 928 Melbourne Public Library 1855 -1869 Prime
"VF 125 HEALTH, PUBLIC",VA 475 Chief Secretary's Department 1855 -1890 Prime
VF 8 IMMIGRATION (NINETEENTH CENTURY),VA 606 Department of Trade and Customs 1855 -1900 Prime
VF 8 IMMIGRATION (NINETEENTH CENTURY),VA 475 Chief Secretary's Department 1855 -1900 Other
VF 99 IMMIGRATION (MONITORING ARRIVALS),VA 606 Department of Trade and Customs 1855 -1900 Prime
"VF 128 HEALTH, MENTAL",VA 475 Chief Secretary's Department 1855 -1944 Prime
VF 13 PRISONS AND YOUTH TRAINING CENTRES,"VA 1464 Penal and Gaols Branch, Chief Secretary's Department 1855 -1960 Prime"
VF 82 GALLERIES,VA 475 Chief Secretary's Department 1855 -1972 Prime
VF 83 MUSEUMS,VA 475 Chief Secretary's Department 1855 -1976 Prime
VF 10 POLICE,VA 475 Chief Secretary's Department 1855 -1979 Prime
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1855 -1987 Prime
VF 23 GOLD OFFICE,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1855 -ct Prime
VF 57 CENSORSHIP,VA 475 Chief Secretary's Department 1855 -ct Prime
VF 468 REGISTRAR-GENERAL'S DEPARTMENT,VA 475 Chief Secretary's Department 1855 -ct Prime
VF 175 ABORIGINAL AFFAIRS,VA 2921 Surveyor-General's Department 1856 -1857 Prime
VF 400 PARLIAMENT,VA 4682 Department of Parliamentary Services 1856 -ct Prime
VF 400 PARLIAMENT,VA 4888 Legislative Council Standing Orders Committee 1856 -ct Prime
VF 400 PARLIAMENT,VA 2585 Legislative Assembly 1856 -ct Prime
VF 400 PARLIAMENT,VA 4110 Legislative Assembly Standing Orders Committee 1856 -ct Prime
VF 26 HERBARIUM,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1857 -1859 Prime
VF 27 BOTANIC GARDENS,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1857 -1859 Prime
VF 175 ABORIGINAL AFFAIRS,VA 538 Department of Crown Lands and Survey 1857 -1860 Prime
VF 17 SURVEY,VA 538 Department of Crown Lands and Survey 1857 -1983 Prime
VF 309 CROWN LANDS (PUBLIC),VA 538 Department of Crown Lands and Survey 1857 -1983 Prime
VF 310 CROWN LANDS (GOVERNMENT),VA 538 Department of Crown Lands and Survey 1857 -1983 Prime
VF 95 SURVEY OF PROPOSED LINES OF RAILWAY,VA 538 Department of Crown Lands and Survey 1857 -ct Prime
VF 24 GEOLOGICAL SURVEY,VA 475 Chief Secretary's Department 1858 -1860 Prime
VF 15 ROADS AND BRIDGES,VA 2964 Department of Roads and Bridges 1858 -1871 Prime
VF 26 HERBARIUM,VA 475 Chief Secretary's Department 1859 -1868 Prime
VF 27 BOTANIC GARDENS,VA 475 Chief Secretary's Department 1859 -1868 Prime
VF 394 LAW,VA 1151 Law Institute of Victoria 1859 -ct Prime
VF 24 GEOLOGICAL SURVEY,VA 2719 Department of Mines (also known as the Mining Department) 1860 -1862 Prime
VF 175 ABORIGINAL AFFAIRS,VA 475 Chief Secretary's Department 1860 -1968 Prime
VF 28 CEMETERIES,VA 4789 Oakleigh General Cemetery Trust 1860 -c 1959 Prime
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,VA 2719 Department of Mines (also known as the Mining Department) 1860 -ct Prime
VF 97 WATER SUPPLY (GOLDFIELDS) - SURVEY,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1861 -1864 Prime
VF 180 ZOOS,VA 3123 Royal Zoological and Acclimatisation Society 1861 -1937 Prime
VF 37 CHINESE INTERPRETERS AND SCRIBES,VA 2825 Attorney-General's Department (previously known as the Law Department) 1861 -ct Prime
VF 379 CEMETERY TRUSTS,VA 4804 Teesdale Cemetery Trust 1861 -ct Prime
VF 19 EDUCATION,VA 919 National School Board 1862 -1862 Prime
VF 25 MINING SURVEYORS,VA 538 Department of Crown Lands and Survey 1862 -1864 Prime
VF 24 GEOLOGICAL SURVEY,VA 538 Department of Crown Lands and Survey 1862 -1867 Prime
VF 19 EDUCATION,VA 475 Chief Secretary's Department 1862 -1873 Prime
"VF 125 HEALTH, PUBLIC",VA 1678 Creswick District Hospital 1863 -ct Prime
VF 38 TITLES,VA 475 Chief Secretary's Department 1864 -1864 Prime
VF 38 TITLES,VA 2926 Commissioner of Titles Office 1864 -1866 Prime
VF 25 MINING SURVEYORS,VA 2719 Department of Mines (also known as the Mining Department) 1864 -ct Prime
VF 97 WATER SUPPLY (GOLDFIELDS) - SURVEY,VA 2719 Department of Mines (also known as the Mining Department) 1864 -ct Prime
VF 44 PATENTS,VA 2889 Registrar-General's Department 1865 -ct Prime
VF 103 MINERAL LEASES,VA 2719 Department of Mines (also known as the Mining Department) 1865 -ct Prime
VF 104 WATER RIGHT LICENSING,VA 2719 Department of Mines (also known as the Mining Department) 1865 -ct Prime
VF 38 TITLES,VA 2888 Office of Titles 1866 -1873 Prime
VF 24 GEOLOGICAL SURVEY,VA 2719 Department of Mines (also known as the Mining Department) 1867 -1895 Prime
"VF 128 HEALTH, MENTAL",VA 2863 Hospitals for the Insane Branch 1867 -1905 Prime
VF 122 RURAL WATER SUPPLY,VA 2787 Victorian Water Supply Department 1867 -1906 Prime
"VF 128 HEALTH, MENTAL",VA 2842 Beechworth (Asylum 1867-1905; Hospital for the Insane 1905-1934; Mental Hospital 1934-1970's; Psychiatric Hospital c.1970's-1995) 1867 -by 1995 Prime
VF 105 WATER SUPPLY (GOLDFIELDS),VA 2719 Department of Mines (also known as the Mining Department) 1867 -ct Prime
"VF 128 HEALTH, MENTAL",VA 2841 Ararat (Asylum 1867-1905; Hospital for the Insane 1905-1934; Mental Hospital 1934-ct) 1867 -ct Prime
VF 26 HERBARIUM,VA 538 Department of Crown Lands and Survey 1868 -1870 Prime
VF 27 BOTANIC GARDENS,VA 538 Department of Crown Lands and Survey 1868 -1870 Prime
VF 3 CENSUS AND STATISTICS,VA 2889 Registrar-General's Department 1869 -1873 Prime
VF 41 CORPORATE AFFAIRS,"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1869 -1959 Prime"
"VF 22 LIBRARY, STATE",VA 913 Public Library of Victoria 1869 -1960 Prime
"VF 429 COPYRIGHT, PATENTS AND TRADEMARKS CO-ORDINATION",VA 2825 Attorney-General's Department (previously known as the Law Department) 1869 -ct Prime
VF 26 HERBARIUM,VA 475 Chief Secretary's Department 1870 -1873 Prime
VF 27 BOTANIC GARDENS,VA 475 Chief Secretary's Department 1870 -1873 Prime
VF 379 CEMETERY TRUSTS,VA 4383 Welchman's Reef Cemetery Trust 1870 -1967 Prime
VF 86 OBSERVATORY,VA 475 Chief Secretary's Department 1870 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 901 Alfred Hospital 1870 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 1239 The Royal Childrens Hospital [also known as RCH] 1870 -ct Prime
VF 15 ROADS AND BRIDGES,VA 2875 Department of Railways and Roads 1871 -1877 Prime
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",VA 2875 Department of Railways and Roads 1871 -1877 Prime
VF 449 INSOLVENCY PROCEEDINGS,"VA 2304 Court of Insolvency, Melbourne 1871 -1928 Prime"
"VF 465 RAILWAY COMPANIES, PRIVATE, SUPERVISION OF",VA 2875 Department of Railways and Roads 1871 -ct Prime
VF 245 AGRICULTURE,VA 618 Department of Agriculture 1872 -1985 Prime
VF 19 EDUCATION,VA 713 Board of Education 1873 -1873 Prime
VF 3 CENSUS AND STATISTICS,"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1873 -1874 Prime"
VF 26 HERBARIUM,VA 618 Department of Agriculture 1873 -1874 Prime
VF 27 BOTANIC GARDENS,VA 618 Department of Agriculture 1873 -1874 Prime
VF 28 CEMETERIES,VA 538 Department of Crown Lands and Survey 1873 -1888 Prime
"VF 39 BIRTHS, DEATHS AND MARRIAGES","VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1873 -1893 Prime"
VF 314 EDUCATION (POST-SECONDARY) TO C.1987,VA 714 Education Department 1873 -1965 Prime
VF 319 EDUCATION (UNIVERSITY) TO C.1987,VA 714 Education Department 1873 -1978 Prime
VF 315 EDUCATION (TECHNICAL/VOCATIONAL) TO C.1987,VA 714 Education Department 1873 -1980 Prime
VF 19 EDUCATION,VA 714 Education Department 1873 -1985 Prime
VF 38 TITLES,VA 2825 Attorney-General's Department (previously known as the Law Department) 1873 -1985 Prime
VF 43 INQUESTS (REGISTRATION),"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1873 -1988 Prime"
VF 42 COPYRIGHT AND TRADEMARKS,"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1873 -ct Prime"
VF 469 REGISTRATION SERVICES,"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1873 -ct Prime"
VF 3 CENSUS AND STATISTICS,VA 2825 Attorney-General's Department (previously known as the Law Department) 1874 -1874 Prime
VF 26 HERBARIUM,VA 475 Chief Secretary's Department 1874 -1903 Prime
VF 3 CENSUS AND STATISTICS,VA 475 Chief Secretary's Department 1874 -1979 Prime
VF 27 BOTANIC GARDENS,VA 538 Department of Crown Lands and Survey 1874 -1983 Prime
"VF 125 HEALTH, PUBLIC","VA 4410 Lord Mayor's Charities Fund October Appeal Committee (known as the Hospital and Charities Sunday Committee, 1874-c.2002) 1874 -ct Prime"
VF 30 FORESTS,VA 618 Department of Agriculture 1875 -1890 Prime
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",VA 2965 Department of Railways 2 1877 -1884 Prime
VF 15 ROADS AND BRIDGES,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1877 -1913 Prime
"VF 125 HEALTH, PUBLIC",VA 441 Prince Henry's Hospital (Known as Homeopathic Hospital from ?1869 to 1934) 1877 -1994 Prime
"VF 128 HEALTH, MENTAL",VA 2844 Ballarat (Asylum 1877-1879; 1893-1905; Hospital for the Insane 1905-1934; Mental Hospital 1934-ct) 1877 -ct Prime
VF 386 HARBOUR MANAGEMENT - PORT OF MELBOURNE,VA 2799 Melbourne Harbor Trust Commissioners 1877 -ct Prime
"VF 128 HEALTH, MENTAL",VA 2843 Sunbury  (Asylum 1879-1905;  Hospital for the Insane 1905-1934;  Mental Hospital 1934-1962; Mental Hospital/Training Centre 1962-1985; Training Centre 1985-ct.) 1879 -ct Prime
VF 205 GOVERNMENT PRINTING,"VA 629 Office of the Chief Parliamentary Counsel, (previously known as Parliamentary Draftsman, 1879 to 1970) 1879 -ct Prime"
VF 117 EDUCATION (SCHOOLS OF MINES),VA 714 Education Department 1880 -1985 Prime
VF 418 WATER SUPPLY,VA 2153 Romsey Waterworks Trust 1881 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 4036 Wimmera United Waterworks Trust 1882 -1908 Prime
VF 122 RURAL WATER SUPPLY,VA 4034 United Echuca and Waranga Waterworks Trust 1882 -by 1909 Prime
"VF 125 HEALTH, PUBLIC",VA 1243 Austin Hospital 1882 -ct Prime
VF 64 HEAD OF GOVERNMENT,VA 672 Premier's Office (also known as Premier's Department) 1883 -1936 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 672 Premier's Office (also known as Premier's Department) 1883 -1936 Prime
VF 29 LAND TAX,VA 538 Department of Crown Lands and Survey 1884 -1903 Prime
VF 484 TRAMWAY CONSTRUCTION,VA 2692 Melbourne Tramways Trust 1884 -1916 Prime
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT","VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) 1884 -ct Prime"
VF 418 WATER SUPPLY,VA 2136 Mount Macedon Waterworks Trust 1885 -1984 Prime
VF 122 RURAL WATER SUPPLY,VA 4035 Shire of Wimmera Waterworks Trust 1886 -1890 Prime
VF 122 RURAL WATER SUPPLY,VA 4033 Swan Hill Irrigation and Water Supply Trust 1887 -? 1906 Prime
"VF 426 CHILDREN, NEGLECTED, MAINTENANCE AND EDUCATION OF","VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department 1887 -1961 Prime"
VF 46 DRAUGHTING BRANCH (LAND TITLES),"VA 862 Office of the Registrar-General and the Office of Titles, (known as Land Victoria from 2001 to ct.) 1887 -ct Prime"
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2852 Kew Cottages (Kew Idiot Ward/Asylum 1887-1929; Children's Cottages 1929-1962; Training Centre 1962-ct) 1887 -ct Prime
VF 28 CEMETERIES,VA 475 Chief Secretary's Department 1888 -1890 Prime
VF 418 WATER SUPPLY,VA 2114 Lancefield Waterworks Trust 1888 -1983 Prime
VF 418 WATER SUPPLY,VA 2176 Woodend Waterworks Trust 1888 -1983 Prime
VF 101 MARINE BOARD OF VICTORIA,VA 1424 Marine Board of Victoria 1888 -ct Prime
VF 122 RURAL WATER SUPPLY,VA 4032 Rodney Irrigation and Water Supply Trust 1889 -? 1906 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 3967 The A.U. Alcock Electric Light and Motive Power Company Limited 1889 -1901 Prime
VF 418 WATER SUPPLY,VA 4735 Carrum Irrigation and Water Supply Trust 1890 -? 1901 Prime
VF 30 FORESTS,VA 538 Department of Crown Lands and Survey 1890 -1891 Prime
VF 122 RURAL WATER SUPPLY,VA 4037 Western Wimmera Irrigation and Water Supply Trust 1890 -1906 Other
VF 28 CEMETERIES,VA 2904 Department of Public Health 1890 -1944 Prime
"VF 125 HEALTH, PUBLIC",VA 2904 Department of Public Health 1890 -1944 Prime
VF 353 HEALTH AND SAFETY (PUBLIC BUILDINGS),VA 2904 Department of Public Health 1890 -1944 Prime
VF 418 WATER SUPPLY,VA 2093 Gisborne Waterworks Trust 1890 -1984 Prime
VF 418 WATER SUPPLY,VA 2124 Macedon Waterworks Trust 1890 -1984 Prime
VF 28 CEMETERIES,VA 4966 Corinella Cemetery Trust 1890 -ct Prime
VF 418 WATER SUPPLY,VA 4736 Dandenong Waterworks Trust 1891 -? 1920 Prime
VF 30 FORESTS,VA 2719 Department of Mines (also known as the Mining Department) 1891 -1893 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 5029 Warrnambool Waterworks Trust 1891 -1917 Prime
VF 123 MELBOURNE WATER SUPPLY AND SEWERAGE,VA 1007 Melbourne Water Corporation [known as Melbourne and Metropolitan Board of Works to 1992] 1891 -ct Prime
VF 437 FOSTER CARE AGENCIES (REGISTRATION OF),VA 475 Chief Secretary's Department 1891 -ct Prime
VF 466 RAILWAY CONSTRUCTION,"VA 690 Railway Construction Branch, Board of Land and Works 1892 -1965 Prime"
VF 418 WATER SUPPLY,VA 4767 Riddells Creek Waterworks Trust 1892 -1983 Prime
VF 30 FORESTS,VA 538 Department of Crown Lands and Survey 1893 -1903 Prime
"VF 39 BIRTHS, DEATHS AND MARRIAGES",VA 989 Office of the Government Statist and Actuary 1893 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 2110 Korumburra Waterworks Trust 1894 -1984 Prime
VF 418 WATER SUPPLY,VA 2110 Korumburra Waterworks Trust 1894 -1984 Prime
VF 24 GEOLOGICAL SURVEY,VA 2720 Department of Mines and Water Supply 1895 -1909 Prime
VF 62 MINING,VA 2720 Department of Mines and Water Supply 1895 -1909 Prime
"VF 300 CHARITIES, PUBLIC (INSPECTION OF)",VA 2659 Administrative Appeals Tribunal 1895 -1998 Prime
VF 139 EMPLOYMENT SERVICE,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) 1896 -1900 Prime"
VF 224 INDUSTRIAL RELATIONS,VA 1010 Conciliation and Arbitration Boards (formerly known as Wages Boards 1896-1981) 1896 -1981 Prime
VF 66 SAVINGS BANKS,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1896 -ct Prime
VF 173 NATIONAL PARKS,VA 543 Mount Buffalo National Park 1898 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2096 Hamilton Waterworks Trust 1899 -1983 Prime
VF 98 FISHERIES AND WILDLIFE,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1900 -1910 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1900 -1910 Prime
VF 139 EMPLOYMENT SERVICE,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1900 -1911 Prime
VF 11 PORTS AND HARBOURS,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1900 -1983 Prime
VF 99 IMMIGRATION (MONITORING ARRIVALS),VA 0  1900 -1996 Prime
VF 8 IMMIGRATION (NINETEENTH CENTURY),VA 475 Chief Secretary's Department 1900 -ct Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 3968 New Australian Electric Company Limited 1901 -1901 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1901 -1919 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 3966 Melbourne Electric Supply Company Limited (previously Electric Light and Traction Company) 1901 -1930 Prime
VF 150 DANGEROUS GOODS,VA 475 Chief Secretary's Department 1901 -1965 Prime
VF 63 DEFENCE,VA 2712 Commonwealth Department of Defence 1901 -ct Prime
VF 279 MERCANTILE MARINE,VA 475 Chief Secretary's Department 1901 -ct Prime
VF 30 FORESTS,VA 618 Department of Agriculture 1903 -1905 Prime
VF 26 HERBARIUM,VA 618 Department of Agriculture 1903 -1913 Prime
VF 206 PUBLIC RECORDS,VA 913 Public Library of Victoria 1903 -1960 Prime
VF 29 LAND TAX,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1903 -1982 Prime
VF 30 FORESTS,VA 2720 Department of Mines and Water Supply 1905 -1908 Prime
VF 475 SETTLEMENT SCHEMES (CLOSER SETTLEMENT),VA 2266 Closer Settlement Board (previously known as  Lands Purchase and Management Board 1905-1918) 1905 -1933 Prime
"VF 128 HEALTH, MENTAL",VA 2864 Lunacy Department (located in Chief Secretary's Department) 1905 -1934 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2864 Lunacy Department (located in Chief Secretary's Department) 1905 -1934 Prime
VF 418 WATER SUPPLY,VA 4771 Sunbury Waterworks Trust 1905 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 4725 Leongatha Waterworks Trust 1905 -1984 Prime
VF 122 RURAL WATER SUPPLY,VA 4727 Yarram Waterworks Trust 1905 -1984 Prime
VF 418 WATER SUPPLY,VA 4725 Leongatha Waterworks Trust 1905 -1984 Prime
VF 418 WATER SUPPLY,VA 4727 Yarram Waterworks Trust 1905 -1984 Prime
VF 122 RURAL WATER SUPPLY,VA 4038 Western Wimmera Waterworks Trust 1906 -1984 Prime
VF 122 RURAL WATER SUPPLY,VA 723 State Rivers and Water Supply Commission (SRWSC) 1906 -1984 Prime
VF 110 VETERINARY SERVICES,VA 618 Department of Agriculture 1906 -1985 Prime
VF 28 CEMETERIES,"VA 4857 Fawkner Crematorium and Memorial Park 1971-2010 [previously known as New Melbourne Cemetery, 1906-1971] 1906 -ct Prime"
VF 474 RURAL WATER SUPPLY (TRANSFERRED 1906-1910),VA 723 State Rivers and Water Supply Commission (SRWSC) 1906 -ct Prime
