FUNCTION,PERIOD,URL
VF 164 AUDIT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=164 
VF 269 CUSTOMS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=269 
VF 373 ARMED FORCES COMMAND,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=373 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 310 CROWN LANDS (GOVERNMENT),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=310 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
"VF 39 BIRTHS, DEATHS AND MARRIAGES",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=39 
VF 28 CEMETERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=28 
VF 23 GOLD OFFICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=23 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 279 MERCANTILE MARINE,,Chttp://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=279 
VF 379 CEMETERY TRUSTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=379 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=20 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
"VF 22 LIBRARY, STATE",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=22 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 8 IMMIGRATION (NINETEENTH CENTURY),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=8 
VF 8 IMMIGRATION (NINETEENTH CENTURY),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=8 
VF 99 IMMIGRATION (MONITORING ARRIVALS),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=99 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 13 PRISONS AND YOUTH TRAINING CENTRES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=13 
VF 82 GALLERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=82 
VF 83 MUSEUMS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=83 
VF 10 POLICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=10 
"VF 14 BUILDINGS, GOVERNMENT (DESIGN AND CONSTRUCTION)",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=14 
VF 23 GOLD OFFICE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=23 
VF 57 CENSORSHIP,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=57 
VF 468 REGISTRAR-GENERAL'S DEPARTMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=468 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 400 PARLIAMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=400 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 17 SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=17 
VF 309 CROWN LANDS (PUBLIC),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=309 
VF 310 CROWN LANDS (GOVERNMENT),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=310 
VF 95 SURVEY OF PROPOSED LINES OF RAILWAY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=95 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 394 LAW,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=394 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
VF 175 ABORIGINAL AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=175 
VF 28 CEMETERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=28 
VF 20 GOLDFIELDS ADMINISTRATION AND MINING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=20 
VF 97 WATER SUPPLY (GOLDFIELDS) - SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=97 
VF 180 ZOOS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=180 
VF 37 CHINESE INTERPRETERS AND SCRIBES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=37 
VF 379 CEMETERY TRUSTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=379 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 25 MINING SURVEYORS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=25 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 38 TITLES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=38 
VF 38 TITLES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=38 
VF 25 MINING SURVEYORS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=25 
VF 97 WATER SUPPLY (GOLDFIELDS) - SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=97 
VF 44 PATENTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=44 
VF 103 MINERAL LEASES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=103 
VF 104 WATER RIGHT LICENSING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=104 
VF 38 TITLES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=38 
VF 24 GEOLOGICAL SURVEY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=24 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 105 WATER SUPPLY (GOLDFIELDS),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=105 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 41 CORPORATE AFFAIRS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=41 
"VF 22 LIBRARY, STATE",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=22 
"VF 429 COPYRIGHT, PATENTS AND TRADEMARKS CO-ORDINATION",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=429 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 379 CEMETERY TRUSTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=379 
VF 86 OBSERVATORY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=86 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=467 
VF 449 INSOLVENCY PROCEEDINGS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=449 
"VF 465 RAILWAY COMPANIES, PRIVATE, SUPERVISION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=465 
VF 245 AGRICULTURE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=245 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
VF 28 CEMETERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=28 
"VF 39 BIRTHS, DEATHS AND MARRIAGES",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=39 
VF 314 EDUCATION (POST-SECONDARY) TO C.1987,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=314 
VF 319 EDUCATION (UNIVERSITY) TO C.1987,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=319 
VF 315 EDUCATION (TECHNICAL/VOCATIONAL) TO C.1987,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=315 
VF 19 EDUCATION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=19 
VF 38 TITLES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=38 
VF 43 INQUESTS (REGISTRATION),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=43 
VF 42 COPYRIGHT AND TRADEMARKS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=42 
VF 469 REGISTRATION SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=469 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 26 HERBARIUM,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=26 
VF 3 CENSUS AND STATISTICS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=3 
VF 27 BOTANIC GARDENS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=27 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 30 FORESTS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=30 
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=467 
VF 15 ROADS AND BRIDGES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=15 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 386 HARBOUR MANAGEMENT - PORT OF MELBOURNE,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=386 
"VF 128 HEALTH, MENTAL",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=128 
VF 205 GOVERNMENT PRINTING,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=205 
VF 117 EDUCATION (SCHOOLS OF MINES),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=117 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
"VF 125 HEALTH, PUBLIC",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=125 
VF 64 HEAD OF GOVERNMENT,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=64 
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=286 
VF 29 LAND TAX,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=29 
VF 484 TRAMWAY CONSTRUCTION,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=484 
"VF 467 RAILWAY SURVEY, CONSTRUCTION AND MANAGEMENT",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=467 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
"VF 426 CHILDREN, NEGLECTED, MAINTENANCE AND EDUCATION OF",,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=426 
VF 46 DRAUGHTING BRANCH (LAND TITLES),,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=46 
VF 249 INTELLECTUAL DISABILITY SERVICES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=249 
VF 28 CEMETERIES,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=28 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
VF 101 MARINE BOARD OF VICTORIA,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=101 
VF 122 RURAL WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=122 
VF 47 ELECTRIC LIGHT AND POWER,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=47 
VF 418 WATER SUPPLY,,http://www.access.prov.vic.gov.au/public/component/daPublicBaseContainer?component=daViewFunction&entityId=418 
